Datetime,Indoor Temp room 1 (C),Indoor Temp room 2 (C),Indoor Temp room 3 (C),External temperature (C),Flat energy (kWh),Builing energy (kWh)
2021-01-11 00:00:00,20.16,17.51,16.13,10.84,2.51,2.68
2021-01-11 01:00:00,20.12,17.47,16.14,10.78,2.74,2.76
2021-01-11 02:00:00,20.12,17.59,16.11,10.68,2.95,2.98
2021-01-11 03:00:00,20.09,17.55,16.11,10.64,3.38,3.09
2021-01-11 04:00:00,20.18,17.58,16.21,10.61,2.73,2.75
2021-01-11 05:00:00,20.14,17.56,16.14,10.66,2.52,2.88
2021-01-11 06:00:00,20.31,17.91,16.38,10.54,3.91,4.07
2021-01-11 07:00:00,22.45,19.55,18.46,10.4,5.93,6.42
2021-01-11 08:00:00,22.86,19.88,18.92,10.52,4.48,5.08
2021-01-11 09:00:00,22.92,20.11,18.88,10.64,4.33,4.92
2021-01-11 10:00:00,22.66,20.16,18.61,10.79,5.46,5.98
2021-01-11 11:00:00,22.75,20.43,18.77,10.74,4.51,5.09
2021-01-11 12:00:00,22.73,20.36,18.63,10.85,3.97,4.46
2021-01-11 13:00:00,22.71,20.38,18.65,10.87,4.07,4.51
2021-01-11 14:00:00,22.57,20.48,18.66,10.77,4.46,4.98
2021-01-11 15:00:00,22.72,20.59,18.71,10.68,4.89,5.26
2021-01-11 16:00:00,22.71,20.61,18.74,10.48,3.87,4.4
2021-01-11 17:00:00,21.13,18.55,17.46,10.36,1.25,1.68
2021-01-11 18:00:00,19.98,16.67,16.22,10.33,0.67,1.12
2021-01-11 19:00:00,20.06,16.95,16.12,10.15,0.77,1.35
2021-01-11 20:00:00,20.01,17.03,16.03,9.96,1.31,1.87
2021-01-11 21:00:00,19.94,17.14,16.14,9.52,2.3,2.58
2021-01-11 22:00:00,19.91,17.28,16.07,9.16,2.24,2.44
2021-01-11 23:00:00,19.98,17.33,16.11,8.85,2.74,2.52
2021-01-12 00:00:00,19.15,16.73,15.97,2.87,5.64,5.86
2021-01-12 01:00:00,19.03,16.63,15.92,3.11,5.87,6.18
2021-01-12 02:00:00,19.08,16.74,16.0,2.97,5.52,5.61
2021-01-12 03:00:00,18.92,16.69,15.9,2.03,6.16,6.53
2021-01-12 04:00:00,18.92,16.76,15.8,2.12,6.5,6.47
2021-01-12 05:00:00,18.9,16.65,15.77,2.18,6.69,7.01
2021-01-12 06:00:00,19.15,17.07,16.11,2.45,7.78,8.08
2021-01-12 07:00:00,21.76,19.53,18.33,2.97,10.07,12.46
2021-01-12 08:00:00,22.15,21.23,18.69,5.31,8.15,10.78
2021-01-12 09:00:00,22.3,20.0,18.77,6.93,5.84,8.51
2021-01-12 10:00:00,22.58,20.09,19.0,7.74,5.03,7.73
2021-01-12 11:00:00,22.74,20.19,19.01,7.28,4.51,5.77
2021-01-12 12:00:00,22.76,20.16,19.03,7.82,4.39,5.26
2021-01-12 13:00:00,22.4,20.03,18.56,7.97,4.67,7.17
2021-01-12 14:00:00,22.5,20.56,18.69,7.64,5.21,7.75
2021-01-12 15:00:00,22.86,21.18,18.94,7.16,4.9,7.58
2021-01-12 16:00:00,22.87,21.28,18.97,6.39,4.89,7.57
2021-01-12 17:00:00,20.81,18.68,17.4,6.24,1.39,3.61
2021-01-12 18:00:00,19.81,17.39,16.12,6.13,1.92,2.39
2021-01-12 19:00:00,19.86,17.67,16.16,5.94,2.99,3.1
2021-01-12 20:00:00,19.81,17.7,16.13,5.9,3.13,3.52
2021-01-12 21:00:00,19.85,17.72,16.1,5.88,3.15,3.78
2021-01-12 22:00:00,19.69,17.4,16.13,5.76,2.81,3.27
2021-01-12 23:00:00,19.7,17.51,16.07,5.68,3.7,3.71
2021-02-11 00:00:00,20.02,17.5,16.11,8.65,3.02,2.88
2021-02-11 01:00:00,20.0,17.54,16.13,7.94,2.61,2.75
2021-02-11 02:00:00,19.92,17.45,16.12,8.29,3.31,3.43
2021-02-11 03:00:00,19.99,17.56,16.13,7.73,2.65,2.84
2021-02-11 04:00:00,19.97,17.64,16.13,7.34,2.88,3.16
2021-02-11 05:00:00,19.97,17.63,16.11,7.42,2.67,3.11
2021-02-11 06:00:00,20.09,17.77,16.28,7.07,4.18,4.56
2021-02-11 07:00:00,22.47,19.95,18.69,7.46,5.16,7.63
2021-02-11 08:00:00,22.79,20.32,19.02,8.21,4.5,7.27
2021-02-11 09:00:00,22.77,20.4,18.63,10.72,4.1,6.84
2021-02-11 10:00:00,22.83,20.38,18.8,12.66,3.65,6.29
2021-02-11 11:00:00,22.97,20.71,18.82,13.87,4.42,5.74
2021-02-11 12:00:00,22.81,20.35,18.77,14.67,3.14,3.71
2021-02-11 13:00:00,23.06,20.32,18.82,14.8,3.08,5.76
2021-02-11 14:00:00,23.17,20.34,18.93,14.37,2.69,5.57
2021-02-11 15:00:00,23.06,20.33,18.9,13.55,2.74,5.55
2021-02-11 16:00:00,23.0,20.65,18.9,11.87,3.33,6.13
2021-02-11 17:00:00,21.54,19.17,17.92,10.66,1.42,3.74
2021-02-11 18:00:00,20.19,16.94,16.53,9.71,0.11,0.7
2021-02-11 19:00:00,19.86,16.4,16.09,9.51,0.11,0.72
2021-02-11 20:00:00,19.8,16.55,15.97,9.15,0.72,1.32
2021-02-11 21:00:00,19.96,16.96,16.03,9.4,1.34,1.81
2021-02-11 22:00:00,19.92,16.93,16.07,9.36,1.88,2.3
2021-02-11 23:00:00,19.92,17.12,16.11,9.09,1.66,2.19
2021-02-12 00:00:00,19.86,17.91,16.08,5.32,3.37,3.71
2021-02-12 01:00:00,19.7,17.58,16.12,4.93,3.18,3.52
2021-02-12 02:00:00,19.42,17.17,16.1,4.83,3.35,3.64
2021-02-12 03:00:00,19.45,17.08,16.07,4.95,3.3,3.69
2021-02-12 04:00:00,19.38,17.06,15.93,4.68,3.75,4.19
2021-02-12 05:00:00,19.44,17.04,15.92,4.46,4.21,4.82
2021-02-12 06:00:00,19.45,16.96,15.87,4.57,5.82,6.64
2021-02-12 07:00:00,22.15,20.62,18.54,4.71,7.16,9.81
2021-02-12 08:00:00,22.32,20.07,18.78,5.04,5.34,8.0
2021-02-12 09:00:00,22.53,20.21,18.95,5.73,5.09,7.77
2021-02-12 10:00:00,22.67,20.39,18.96,6.57,5.11,7.77
2021-02-12 11:00:00,22.78,20.76,18.91,7.41,5.21,6.47
2021-02-12 12:00:00,22.78,20.84,18.92,7.99,5.52,6.01
2021-02-12 13:00:00,22.28,20.59,18.8,8.2,7.25,9.68
2021-02-12 14:00:00,22.79,21.57,18.82,7.8,5.26,7.96
2021-02-12 15:00:00,22.28,20.57,18.48,7.25,4.43,6.93
2021-02-12 16:00:00,22.79,21.37,18.92,5.79,4.72,7.4
2021-02-12 17:00:00,20.86,18.78,17.36,5.26,1.21,3.61
2021-02-12 18:00:00,19.79,17.23,16.14,5.29,1.8,2.19
2021-02-12 19:00:00,19.83,17.53,16.16,5.1,2.8,3.72
2021-02-12 20:00:00,19.82,17.61,16.13,4.79,2.63,3.42
2021-02-12 21:00:00,19.72,17.5,16.15,4.46,3.15,3.54
2021-02-12 22:00:00,19.56,17.23,16.16,3.93,3.07,3.55
2021-02-12 23:00:00,19.51,17.09,16.11,2.91,3.97,3.98
2021-03-11 00:00:00,19.83,17.16,16.06,9.11,2.02,2.77
2021-03-11 01:00:00,19.98,17.34,16.1,8.94,2.57,3.17
2021-03-11 02:00:00,20.02,17.56,16.12,9.47,3.08,3.75
2021-03-11 03:00:00,20.13,17.56,16.13,9.49,3.29,3.85
