Year;Month;Day;Time;Indoor Temp room 1 (C);Indoor Temp room 2 (C);Indoor Temp room 3 (C);External temperature (C);Flat energy (kWh);Builing energy (kWh);Surface
0;21;01;10;01:00;21.7;21.34;21.33;;0.09;0.66;417.0
1;21;01;10;02:00;21.69;21.33;21.28;;0.09;0.65;417.0
2;21;01;10;03:00;21.6;21.31;21.23;;0.09;0.65;417.0
3;21;01;10;04:00;21.57;21.22;21.22;;0.09;0.65;417.0
4;21;01;10;05:00;21.53;21.23;21.14;;0.09;0.65;417.0
5;21;01;10;06:00;21.58;21.24;21.24;;0.09;2.81;417.0
6;21;01;10;07:00;21.68;21.34;21.3;;0.09;2.85;417.0
7;21;01;10;08:00;21.79;21.34;21.34;;0.09;2.89;417.0
8;21;01;10;09:00;22.09;21.65;21.54;;0.09;2.88;417.0
9;21;01;10;10:00;22.19;21.85;21.66;;0.09;1.43;417.0
10;21;01;10;11:00;22.19;21.77;21.6;;0.09;0.69;417.0
11;21;01;10;12:00;22.29;21.73;21.72;;0.09;2.6;417.0
12;21;01;10;13:00;22.37;21.85;21.84;;0.09;2.86;417.0
13;21;01;10;14:00;22.67;21.89;22.09;;0.09;2.87;417.0
14;21;01;10;15:00;22.97;21.96;22.45;;0.09;2.86;417.0
15;21;01;10;16:00;22.84;21.97;22.34;;0.09;2.85;417.0
16;21;01;10;17:00;22.39;21.81;21.91;;0.09;0.66;417.0
17;21;01;10;18:00;22.17;21.7;21.68;;0.09;0.66;417.0
18;21;01;10;19:00;21.99;21.52;21.56;;0.09;0.65;417.0
19;21;01;10;20:00;21.81;21.45;21.47;;0.09;0.65;417.0
20;21;01;10;21:00;21.72;21.41;21.35;;0.09;0.65;417.0
21;21;01;10;22:00;21.66;21.32;21.31;;0.09;0.66;417.0
22;21;01;10;23:00;21.6;21.27;21.3;;0.09;0.66;417.0
23;21;01;11;00:00;20.16;17.51;16.13;10.84;2.51;2.68;417.0
24;21;01;11;01:00;20.12;17.47;16.14;10.78;2.74;2.76;417.0
25;21;01;11;02:00;20.12;17.59;16.11;10.68;2.95;2.98;417.0
26;21;01;11;03:00;20.09;17.55;16.11;10.64;3.38;3.09;417.0
27;21;01;11;04:00;20.18;17.58;16.21;10.61;2.73;2.75;417.0
28;21;01;11;05:00;20.14;17.56;16.14;10.66;2.52;2.88;417.0
29;21;01;11;06:00;20.31;17.91;16.38;10.54;3.91;4.07;417.0
30;21;01;11;07:00;22.45;19.55;18.46;10.4;5.93;6.42;417.0
